Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-52.0	-54.0	28.0	2.6169877667284602	2408
PositiveTail 1a	-52.0	-56.0	18.0	2.544369339601619	
PositiveTail 1b	-50.0	-64.0	28.0	2.417552078573488	
PositiveTail 1c	-46.0	-52.0	28.0	2.417552078573488	
PositiveTail 2	-32.0	-6.0	56.0	2.6169877667284602	1616
PositiveTail 2a	-34.0	-14.0	60.0	2.417552078573488	
PositiveTail 2b	-24.0	-4.0	54.0	2.417552078573488	
PositiveTail 3	-58.0	-22.0	6.0	2.544369339601619	1040
PositiveTail 3a	-60.0	-18.0	-2.0	2.1899908239864065	
PositiveTail 3b	-56.0	-24.0	10.0	2.1899908239864065	
PositiveTail 3c	-54.0	-22.0	0.0	2.1899908239864065	
PositiveTail 4	-42.0	22.0	-6.0	2.544369339601619	1328
PositiveTail 4a	-34.0	24.0	-4.0	2.417552078573488	
PositiveTail 4b	-40.0	16.0	-6.0	2.1899908239864065	
PositiveTail 4c	-46.0	22.0	-6.0	1.8931150686350664	
PositiveTail 5	52.0	20.0	6.0	2.544369339601619	1080
PositiveTail 5a	52.0	26.0	12.0	2.417552078573488	
PositiveTail 5b	56.0	20.0	4.0	2.417552078573488	
PositiveTail 5c	48.0	32.0	12.0	2.1899908239864065	
PositiveTail 6	-4.0	6.0	54.0	2.544369339601619	3376
PositiveTail 6a	0.0	14.0	50.0	2.544369339601619	
PositiveTail 6b	6.0	6.0	54.0	2.417552078573488	
PositiveTail 6c	6.0	20.0	44.0	2.417552078573488	
PositiveTail 7	50.0	20.0	22.0	2.544369339601619	1312
PositiveTail 7a	44.0	14.0	32.0	2.417552078573488	
PositiveTail 7b	50.0	16.0	24.0	2.417552078573488	
PositiveTail 7c	52.0	20.0	32.0	2.417552078573488	
PositiveTail 8	-2.0	54.0	-10.0	2.544369339601619	720
PositiveTail 8a	2.0	54.0	0.0	2.1899908239864065	
PositiveTail 8b	-6.0	56.0	-2.0	1.8931150686350664	
PositiveTail 9	0.0	46.0	24.0	2.544369339601619	1856
PositiveTail 9a	2.0	56.0	24.0	2.544369339601619	
PositiveTail 9b	0.0	46.0	28.0	2.417552078573488	
PositiveTail 9c	0.0	48.0	20.0	2.417552078573488	
PositiveTail 10	46.0	-64.0	-4.0	2.544369339601619	1248
PositiveTail 10a	46.0	-60.0	6.0	2.417552078573488	
PositiveTail 10b	38.0	-64.0	0.0	2.1899908239864065	
PositiveTail 10c	46.0	-68.0	8.0	2.1899908239864065	
PositiveTail 11	52.0	-22.0	2.0	2.417552078573488	264
PositiveTail 11a	58.0	-20.0	8.0	1.8931150686350664	
PositiveTail 12	32.0	-48.0	-18.0	2.417552078573488	936
PositiveTail 12a	24.0	-48.0	-12.0	2.1899908239864065	
PositiveTail 12b	26.0	-44.0	-20.0	2.1899908239864065	
PositiveTail 12c	26.0	-44.0	-10.0	2.1899908239864065	
PositiveTail 13	58.0	0.0	-16.0	2.417552078573488	368
PositiveTail 14	-40.0	-42.0	52.0	2.417552078573488	904
PositiveTail 14a	-42.0	-32.0	58.0	2.1899908239864065	
PositiveTail 14b	-40.0	-48.0	50.0	2.1899908239864065	
PositiveTail 14c	-40.0	-42.0	44.0	2.1899908239864065	
PositiveTail 15	24.0	-58.0	-24.0	2.417552078573488	248
PositiveTail 16	6.0	-54.0	48.0	2.1899908239864065	296
PositiveTail 17	32.0	18.0	0.0	2.1899908239864065	96
PositiveTail 18	-4.0	40.0	16.0	2.1899908239864065	152
PositiveTail 19	-32.0	-46.0	-22.0	2.1899908239864065	112
PositiveTail 20	52.0	-50.0	20.0	2.1899908239864065	104
PositiveTail 21	0.0	-56.0	26.0	2.1899908239864065	184
PositiveTail 22	56.0	-46.0	20.0	1.8931150686350664	128
