id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
18431500-18431500_analysis_2	0	0	0	0	0	0	0	0
18431500-18431500_analysis_3	0	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	0	0	0	0	0	0
19048432-19048432_analysis_2	0	0	0	0	0	0	0	0
19048432-19048432_analysis_5	0	0	0	0	0	0	0	0
22403154-22403154_analysis_0	0	0	0	0	0	0	0	0
22403154-22403154_analysis_1	0	0	0	0	0	0	0	0
22403154-22403154_analysis_10	0	0	0	0	0	0	0	0
22403154-22403154_analysis_11	0	0	0	0	0	0	0	0
22403154-22403154_analysis_12	0	0	0	0	0	0	0	0
22403154-22403154_analysis_13	0	0	0	0	0	0	0	0
22403154-22403154_analysis_4	0	0	0	0	0	0	0	0
22403154-22403154_analysis_5	0	0	0	0	0	0	0	0
22403154-22403154_analysis_6	0	0	0	0	0	0	0	0
22403154-22403154_analysis_7	0	0	0	0	0	0	0	0
22403154-22403154_analysis_8	0	0	0	0	0	0	0	1
22403154-22403154_analysis_9	0	0	0	0	0	0	0	0
22848759-22848759_analysis_0	0	0	0	0	0	0	0	0
25946306-25946306_analysis_1	0	0	0	0	0	0	0	0
26168793-26168793_analysis_0	0	0	0	0	0	0	0	0
26168793-26168793_analysis_1	0	0	0	0	0	0	0	0
26168793-26168793_analysis_4	0	0	0	0	0	0	0	0
26168793-26168793_analysis_5	0	0	0	0	0	0	0	0
26168793-26168793_analysis_6	0	0	0	0	0	0	0	0
26168793-26168793_analysis_7	0	0	0	0	0	0	0	0
26168793-26168793_analysis_8	0	0	0	0	0	0	0	0
27096431-27096431_analysis_13	0	0	0	0	0	0	0	0
27096431-27096431_analysis_2	0	0	0	0	0	0	0	0
27096431-27096431_analysis_5	0	0	0	0	0	0	0	0
27096431-27096431_analysis_6	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_1	0	0	0	0	0	0	0	0
27494142-27494142_analysis_2	0	0	0	0	0	0	0	0
27494142-27494142_analysis_3	0	0	0	0	0	0	0	0
27494142-27494142_analysis_4	0	0	0	0	0	0	0	0
27494142-27494142_analysis_5	0	0	0	0	0	0	0	0
29079809-29079809_analysis_0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_1	0	0	0	0	0	0	0	0
29324862-29324862_analysis_0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_1	0	0	0	0	0	0	0	0
29324862-29324862_analysis_6	0	0	0	0	0	0	0	0
30430680-30430680_analysis_0	0	0	0	0	0	0	0	0
30430680-30430680_analysis_1	0	0	0	0	0	0	0	0
30430680-30430680_analysis_2	0	0	0	0	0	0	0	0
30430680-30430680_analysis_3	0	0	0	0	0	0	0	0
30430680-30430680_analysis_6	0	0	0	0	0	0	0	0
30430680-30430680_analysis_8	0	0	0	0	0	0	0	0
30430680-30430680_analysis_9	0	0	0	0	0	0	0	0
30649548-30649548_analysis_0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_1	0	0	0	0	0	0	0	0
30649548-30649548_analysis_2	0	0	0	0	0	0	0	0
30649548-30649548_analysis_3	0	0	0	0	0	0	0	0
30649548-30649548_analysis_4	0	0	0	0	0	0	0	0
30649548-30649548_analysis_5	0	0	0	0	0	0	0	0
30834300-30834300_analysis_0	1	0	0	0	0	0	0	0
31680152-31680152_analysis_0	0	0	0	0	0	0	0	0
31680152-31680152_analysis_1	0	0	0	0	0	0	0	0
31680152-31680152_analysis_2	0	0	0	0	0	0	0	0
31680152-31680152_analysis_3	0	0	0	0	0	0	0	0
31680152-31680152_analysis_4	0	0	0	0	0	0	0	0
